"","Fire_ID","avg_cmi","avg_vpd"
"142","FOR18_2005_1520",0.06,7.096
"143","NIP20_2005_1521",2.45,5.06333333333333
"144","NIP52_2005_1522",-0.07,5.905
"145","NIP80_2005_1523",-0.67,6.54
"146","THU30_2005_1525",2.19,6.0625
"147","THU57_2005_1526",1.42,6.632
"148","THU65_2005_1527",1.86,6.484
"149","THU67_2005_1528",1.7,6.53
"150","TIM56_2005_1529",-3.54,7.385
"151","COC37_2005_1533",0.54,6.285
"152","SLK40_2005_1534",2.25,5.546
"153","SLK25_2005_1535",2.66,5.74
"154","NIP104_2005_1536",0.96,6.044
"155","SAU78_2006_1560",-2.39,5.99666666666667
"156","SUD8_2006_1561",3.2,4.28333333333333
"157","NIP262_2006_1567",-1.28,5.435
"158","THU113_2006_1568",-1.28,6.54285714285714
"159","NIP406_2006_1569",-1.45,5.54666666666667
"160","NIP409_2006_1570",-0.77,5.04857142857143
"161","NIP238_2006_1571",-0.72,4.95714285714286
"162","NIP426_2006_1572",-1.42,5.55833333333333
"163","NIP322_2006_1573",-1.17,6.09428571428571
"164","NIP365_2006_1574",-1.48,5.51833333333333
"165","NIP391_2006_1575",-0.64,4.87
"166","RED84_2006_1576",-0.83,6.356
"167","RED175_2006_1577",-0.6,6.095
"168","RED177_2006_1579",-0.25,6.09333333333333
"169","NIP189_2006_1580",0.02,5.84666666666667
"170","SLK30_2006_1581",0.81,5.65
"171","NIP70_2006_1583",0.22,6.1125
"172","SLK118_2006_1590",1.34,5.788
"173","SLK97_2006_1591",-0.18,6.23333333333333
"174","NIP151_2006_1592",-1.75,6.602
"175","SLK44_2006_1593",1.64,5.93666666666667
"176","RED14_2006_1594",0.12,5.67666666666667
"177","RED15_2006_1595",0.58,5.70666666666667
"178","NIP327_2006_1596",-1.04,6.36428571428571
"179","THU246_2006_1597",-0.93,6.27714285714286
"180","THU187_2006_1598",-1.18,6.06428571428571
"181","SLK45_2006_1599",1.71,5.83333333333333
"182","NIP440_2006_1601",-1.45,5.73666666666667
"183","NIP410_2006_1602",-1.5,5.74166666666667
"184","NIP257_2006_1604",-1.07,5.78142857142857
"185","NIP245_2006_1605",-1.58,6.04
"186","COC14_2006_1606",-0.32,5.335
"187","NIP323_2006_1607",-1.37,6.22428571428571
"188","NIP328_2006_1608",-1.44,6.37571428571429
"189","NIP296_2006_1609",-1.33,6.02285714285714
"190","THU189_2006_1610",-1.29,6.04285714285714
"191","NIP291_2006_1611",-0.87,5.14571428571429
"192","NIP404_2006_1612",-1.52,5.34833333333333
"193","NIP400_2006_1613",-1.52,5.32833333333333
"194","NIP341_2006_1614",-1.01,5.67428571428571
"195","NIP402_2006_1615",-1.49,5.19166666666667
"196","NIP334_2006_1616",-1.47,5.15666666666667
"197","FOR52_2006_1617",-1.96,7.5825
"198","FOR173_2006_1618",-1.12,6.75428571428571
"199","FOR54_2006_1619",-0.54,6.508
"200","FOR165_2006_1620",-1.1,6.79142857142857
"201","FOR57_2006_1621",-0.43,6.478
"202","FOR63_2006_1622",-0.47,6.518
"203","FOR179_2006_1623",-0.97,6.75142857142857
"204","FOR61_2006_1624",-0.26,6.538
"205","RED163_2006_1625",0.57,5.98833333333333
"206","RED182_2006_1626",-0.54,6
"207","RED183_2006_1627",-0.77,5.93833333333333
"208","RED146_2006_1628",-0.23,6.392
"209","RED113_2006_1629",-0.02,6.372
"210","RED176_2006_1632",-0.33,6.07666666666667
"211","THU185_2006_1633",-0.73,6.49857142857143
"212","THU142_2006_1634",-1.48,7.06833333333333
"213","THU234_2006_1635",-0.85,6.41571428571429
"214","THU190_2006_1636",-0.96,6.45142857142857
"215","NIP430_2006_1637",-1.77,6.87333333333333
"216","THU144_2006_1638",-1.42,7.02833333333333
"217","THU249_2006_1639",-0.91,6.47714285714286
"218","THU163_2006_1640",-1.09,6.50857142857143
"219","NIP267_2006_1641",-1.32,6.12333333333333
"220","THU143_2006_1642",-1.71,7.13166666666667
"221","NIP344_2006_1643",-1.35,6.04833333333333
"222","NIP226_2006_1644",-1.96,6.78833333333333
"223","NIP415_2006_1645",-1.41,6.05
"224","NIP428_2006_1646",-1.25,6.37857142857143
"225","THU184_2006_1647",-1.75,7.17
"226","NIP414_2006_1648",-1.5,6.00666666666667
"227","COC8_2006_1649",-0.18,5.2
"228","THU151_2006_1650",-0.92,6.37857142857143
"229","NIP108_2006_1651",-1.76,5.82
"230","THU176_2006_1652",-0.8,6.31
"231","THU167_2006_1653",-1.82,7.12666666666667
