"","Fire_ID","avgBio","cc","age"
"1","NIP53_2001_1",32.9284553527832,26.7124843597412,54.7938842773438
"2","NIP39_2001_2",34.5895195007324,23.5859527587891,52.5725059509277
"3","NIP52_2001_3",47.038402557373,38.3239135742188,80.190055847168
"4","NIP35_2001_5",59.8611679077148,48.1126861572266,74.5037460327148
"5","NIP24_2001_7",43.9327507019043,36.3039855957031,73.5902633666992
"6","KLK2_2001_10",26.9608306884766,19.3764171600342,40.7536163330078
"7","PEM3_2001_11",13.7795333862305,5.4801778793335,9.42547416687012
"8","SLK5_2002_12",29.8408794403076,26.2746257781982,57.1213531494141
"9","SLK6_2002_13",25.738187789917,25.2676334381104,58.3619575500488
"10","SLK7_2002_14",30.5653896331787,26.1593570709229,62.4144821166992
"11","RED1_2002_15",42.0869827270508,37.6802177429199,71.0593643188477
"12","SLK1_2002_16",32.4237174987793,29.4448661804199,61.1643104553223
"13","SLK4_2002_17",28.9643306732178,25.2196559906006,55.6261215209961
"14","SLK8_2002_18",30.1271839141846,27.4809989929199,60.2548370361328
"15","SLK6_2001_37",26.99684715271,26.4064102172852,49.8034934997559
"16","SLK5_2001_38",32.257251739502,30.121639251709,61.1976661682129
"17","SLK3_2001_39",14.6005363464355,11.7540321350098,54.4956436157227
"18","NIP54_2001_40",39.9768943786621,36.623477935791,56.2254295349121
"19","NIP73_2001_41",11.5725812911987,8.43174076080322,62.7292671203613
"20","RED60_2001_42",86.8064346313477,66.6605987548828,83.1839370727539
"21","SLK24_2001_43",43.0113258361816,37.6969184875488,81.0373611450195
"22","SLK45_2001_44",52.4181785583496,45.5138130187988,94.7434310913086
"23","NIP22_2001_46",99.1936416625977,72.4169311523438,94.3389205932617
"24","NIP26_2001_47",96.8823013305664,76.5052795410156,95.3287658691406
"25","COC15_2001_48",27.9900531768799,19.6720008850098,68.7742538452148
"26","NIP77_2001_49",18.9713897705078,8.94376373291016,57.3096237182617
"27","PET1_2001_50",42.4896850585938,25.6797657012939,60.6659812927246
"28","SLK2_2002_51",15.1120386123657,13.5141868591309,63.4035873413086
"29","SLK3_2002_52",35.3990936279297,31.4870185852051,63.0549621582031
"30","COC12_2002_53",40.2109107971191,32.8248291015625,67.2773666381836
"31","SLK11_2002_54",36.9604187011719,31.4973907470703,56.1096153259277
"32","SLK12_2002_55",36.3635444641113,34.5603141784668,71.0475769042969
"33","SLK36_2002_56",24.4069328308105,20.6675605773926,63.2851028442383
"34","SLK1_2001_63",16.2327976226807,26.5607433319092,83.0688247680664
"35","SLK4_2001_64",7.19263792037964,6.71764421463013,24.858528137207
"36","RED61_2001_65",18.2765445709229,14.6767272949219,55.3004875183105
"37","NIP55_2001_66",47.2303123474121,36.6263732910156,67.2697372436523
"38","SLK44_2001_67",23.4485950469971,21.2656364440918,60.2782745361328
"39","NIP72_2001_68",18.8270874023438,16.1972522735596,55.6591529846191
"40","SLK47_2001_69",52.4229393005371,42.9330825805664,64.9739151000977
"41","NIP74_2001_70",32.8030738830566,25.4761695861816,53.4288520812988
"42","RED48_2001_72",15.0963087081909,11.5478935241699,80.7260589599609
"43","SLK47_2002_73",96.1273040771484,64.0334548950195,93.7140121459961
"44","COC19_2002_74",68.5398178100586,52.9662590026855,109.230674743652
"45","DRY10_2002_75",70.9684600830078,56.106616973877,66.6559982299805
"46","NIP75_2002_76",91.515022277832,59.7182540893555,93.2130889892578
"47","NIP16_2002_77",78.7472991943359,56.1761932373047,81.5909576416016
"48","NIP83_2002_88",32.3125152587891,25.4777355194092,60.136287689209
"49","SLK31_2002_89",44.2167549133301,35.5770263671875,72.3136215209961
"50","RED39_2002_90",40.7787818908691,44.2436485290527,69.9461898803711
"51","RED40_2002_91",12.3383073806763,15.5758628845215,53.0840225219727
"52","RED47_2002_92",97.2971954345703,66.7521133422852,86.8886489868164
"53","NIP51_2002_94",110.294136047363,75.9850845336914,115.32738494873
"54","RED55_2002_95",67.1793670654297,59.6116485595703,64.0053405761719
"55","NIP81_2002_96",108.452629089355,72.7112045288086,101.162261962891
"56","NIP38_2002_97",115.550163269043,80.3061676025391,124.305877685547
"57","COC9_2002_100",52.596565246582,35.312313079834,87.4075546264648
"58","THU16_2002_102",73.6039123535156,55.9564971923828,67.9518585205078
"59","NIP85_2002_103",115.354019165039,73.6562881469727,81.8281326293945
"60","PEM9_2002_104",30.5351142883301,19.7944717407227,31.9541416168213
"61","RED57_2002_163",48.8005523681641,51.2026901245117,68.1939926147461
"62","NIP55_2002_164",32.5165061950684,27.4394187927246,62.6236419677734
"63","SLK70_2002_166",59.1780014038086,41.9547691345215,87.7799453735352
"64","RED56_2002_167",49.3046226501465,50.2669448852539,69.0125122070312
"65","RED23_2002_168",55.9418678283691,54.5200614929199,80.8191452026367
"66","RED41_2002_169",57.9124908447266,64.2509918212891,69.3318252563477
"67","RED21_2002_170",64.2961883544922,56.4553070068359,81.7133331298828
"68","RED63_2002_171",41.1502456665039,43.247013092041,76.4252014160156
"69","SLK19_2002_172",47.6755828857422,45.7035789489746,91.59521484375
"70","NIP54_2002_173",101.891784667969,76.9908905029297,97.3785705566406
"71","NIP56_2002_174",46.9753723144531,36.8449668884277,90.5152359008789
"72","RED60_2002_175",93.7233505249023,72.2725448608398,83.9964828491211
"73","NIP101_2002_176",21.8588447570801,19.1047439575195,52.2093505859375
"74","SLK21_2002_177",14.3217363357544,15.3351917266846,50.9106216430664
"75","SLK68_2002_178",49.3905487060547,41.4226608276367,88.4268417358398
"76","SLK54_2002_179",37.2744445800781,34.609920501709,68.2338409423828
