"","Fire_ID","Fire_Year","Fire_Start","BurnDay","Snow_Acc","SnowAccDay","SnowMeltDay","Snow_Melt","SnowCoverDays","ymdPS","peakSnow","sweMean","sweMedian","doPS","tdps","tssm","avgBio","cc","age","tri","ppt_tsm","tmax_tsm","RBR_median","RBR_quant","RBR_cv","FIRE_FINAL","size_class"
"1","KLK9_2004_1508",2004,"2004-10-01",274,"2003-10-22",294,105,"2004-04-15",176,"2004-03-28",206.7767384,81.39260588,80.33333588,87,18,169,82.5408401489258,59.7905769348145,91.0957946777344,7.24659156799316,490.804659459793,17.8461699195233,491.7569191,558.397585992608,0.202867433,72,1
"2","THU31_2005_1510",2005,"2005-07-26",206,"2004-10-19",292,107,"2005-04-18",180,"2005-03-29",153.776764,59.92700134,42.88999939,87,20,99,107.234832763672,79.9476852416992,98.3065719604492,12.8873920440674,274.984037574944,18.5148565412322,322.6846793,465.45025009848,0.47082445,1428,2
"3","TIM19_2005_1512",2005,"2005-07-15",195,"2004-11-04",308,106,"2005-04-17",163,"2005-03-26",142.2106616,51.85581556,34.75,84,22,89,34.906436920166,23.6929302215576,54.6067543029785,11.3950824737549,146.014569919416,20.1311765308525,202.6496423,287.188290863062,0.452248126,3200,2
"4","CHA18_2005_1513",2005,"2005-07-18",198,"2004-09-29",272,108,"2005-04-19",201,"2005-03-27",180.3753234,71.09339736,67.16000366,85,23,90,76.5823287963867,54.1185874938965,92.6109848022461,5.36314153671265,163.795171633143,19.8356459669292,205.2069328,454.017722791352,0.696171939,60,1
"5","TIM7_2005_1515",2005,"2005-05-27",146,"2004-11-13",317,107,"2005-04-18",155,"2005-03-27",182.0958228,70.43967607,61.02999878,85,22,39,80.3264083862305,62.5608253479004,78.7727584838867,7.54751062393188,71.6121226999327,13.3530932430111,362.5522487,527.033219005409,0.452403516,449,1
"6","TIM5_2005_1517",2005,"2005-05-27",146,"2004-09-21",264,100,"2005-04-11",201,"2005-03-27",174.0226714,65.73929989,60.63500214,85,15,46,81.5326385498047,55.6787490844727,80.8953170776367,28.0794696807861,63.7962281759528,13.4479400215217,242.2335682,423.318013094569,0.583836555,440,1
"7","FOR14_2005_1514",2005,"2005-08-07",218,"2004-09-08",251,97,"2005-04-08",211,"2005-03-22",93.33455112,30.37253427,5.539999962,80,17,121,77.4803619384766,59.4845809936523,76.6519393920898,21.5653171539307,384.946207560101,20.254915752004,161.1080187,265.836731336764,0.505620062,430,1
"8","FOR24_2005_1516",2005,"2005-08-02",213,"2004-10-09",282,101,"2005-04-12",184,"2005-03-27",99.26597273,33.08059568,13.0425005,85,16,112,80.209587097168,58.701961517334,67.8437461853027,27.6148052215576,334.524579788393,19.9982580358929,216.7742916,321.732281504606,0.381056696,213,1
"9","SLK40_2005_1534",2005,"2005-08-07",218,"2004-10-04",277,107,"2005-04-18",195,"2005-03-29",160.1446363,63.92028874,52.61999893,87,20,111,28.1924610137939,30.4382438659668,61.220760345459,9.19931507110596,334.641856035888,18.3127587223274,157.5775021,414.572029080233,0.888444126,100,1
"10","SLK25_2005_1535",2005,"2005-07-12",192,"2004-10-04",277,107,"2005-04-18",195,"2005-03-29",140.3319024,54.67903675,37.54899979,87,20,85,84.2929763793945,70.4226150512695,102.3857421875,2.53960943222046,258.611280420062,17.0799002520806,288.7521984,424.778324792187,0.458884895,111,1
"11","NIP104_2005_1536",2005,"2005-08-09",220,"2004-10-19",292,107,"2005-04-18",180,"2005-03-29",152.0404794,62.11634995,36.56999969,87,20,113,112.87281036377,77.7447814941406,110.317741394043,4.12350034713745,273.489215211862,19.3808630064585,167.7607524,444.36069655226,0.955795169,65,1
"12","WAW21_2003_1406",2003,"2003-06-21",171,"2002-11-02",305,113,"2003-04-24",173,"2003-04-09",182.1219269,80.69002273,72.40663064,98,15,58,83.2938613891602,54.3035888671875,93.7702941894531,15.8516550064087,106.477626211775,16.9333298956162,195.0338972,325.808122948234,0.618899405,5783,2
"13","SLK20_2003_1434",2003,"2003-05-17",136,"2002-11-07",310,122,"2003-05-03",177,"2003-03-20",105.7795996,49.4120488,58.22000122,78,44,14,107.317153930664,79.8221664428711,81.8260650634766,5.94026803970337,9.62695404236344,18.8384675431526,366.0191263,549.04693456197,0.594283879,52,1
"14","SAU7_2003_1436",2003,"2003-05-06",125,"2002-12-04",337,95,"2003-04-06",123,"2003-03-15",77.68750471,20.15449325,3.186666727,73,22,30,27.4956130981445,24.9505653381348,49.4082221984863,7.86517333984375,54.6749568289605,9.37926298500835,157.9174946,206.352016301205,0.269655228,90,1
"15","RED65_2003_1440",2003,"2003-06-18",168,"2002-10-18",290,138,"2003-05-19",213,"2003-04-07",59.44143199,19.75185831,16.90999985,96,42,30,71.6021881103516,61.5876617431641,73.3930435180664,17.1703834533691,75.2768407001674,20.4985739199915,414.2822236,519.123456088452,0.381724358,135,1
"16","KLK5_2003_1495",2003,"2003-05-20",139,"2002-11-13",316,108,"2003-04-19",157,"2003-03-16",124.0590473,46.03131075,29.93000031,74,34,31,43.0733642578125,32.8975143432617,44.3371887207031,14.037712097168,62.2086148936932,13.3499453911414,110.0749227,203.09893080493,0.663647413,172,1
"17","KLK9_2003_1496",2003,"2003-05-07",126,"2002-10-03",275,126,"2003-05-07",216,"2003-04-09",188.2852965,80.89306512,72.16999817,98,28,0,74.8881149291992,52.9544296264648,76.8685455322266,12.8245191574097,0,17.5011508922138,391.8168297,438.120965964635,0.224900156,103,1
"18","THU28_2003_1502",2003,"2003-05-09",128,"2002-11-23",326,107,"2003-04-18",146,"2003-04-08",135.814382,50.15644518,27.62000084,97,10,21,60.753963470459,42.110652923584,61.8514404296875,8.73504638671875,91.7355092324038,11.6363780893744,77.5923027,140.083775481296,0.624892473,50,1
"19","WAW23_2003_1503",2003,"2003-06-21",171,"2002-10-08",280,121,"2003-05-02",206,"2003-04-08",150.5069679,66.72090199,66.23999786,97,24,50,74.2804489135742,54.2152709960938,92.1700057983398,31.5488605499268,71.3028037476776,18.7815308554521,218.0902209,341.385552457478,0.435790926,746,2
"20","THU66_2003_1537",2003,"2003-06-23",173,"2002-11-07",310,127,"2003-05-08",182,"2003-04-08",97.79536204,46.33181585,52.40200043,97,30,46,95.0562133789062,64.900146484375,93.5423812866211,19.2344570159912,70.8696511716689,20.8866666715273,284.8863745,457.394724737879,0.464809984,250,1
"21","NIP112_2005_1518",2005,"2005-08-08",219,"2004-10-04",277,111,"2005-04-22",199,"2005-03-29",146.3170349,58.18673347,35.59999847,87,24,108,102.747909545898,70.6497802734375,99.7985305786133,10.0247688293457,307.395622729996,19.3994432191453,213.8314429,412.204231841523,0.685264587,325,1
