"","Fire_ID","SweMax","doPS"
"121","SLK40_2006_1672",113.773258743535,97
"122","RED69_2006_1673",105.681588042728,85
"123","SLK38_2006_1674",92.2084942720988,85
"124","SLK42_2006_1675",79.9364726603532,85
"125","RED188_2006_1676",97.589527254745,85
"126","RED186_2006_1677",93.1849769311437,84
"127","RED16_2006_1679",86.3745569232029,85
"128","RED192_2006_1680",65.390310967518,84
"129","THU154_2006_1687",84.0229854997812,364
"130","THU232_2006_1690",75.5454027635703,364
"131","RED68_2003_1428",79.3989922109276,95
"132","WAW13_2003_1409",154.921172273434,97
"133","DRY57_2003_1410",79.4416667024991,95
"134","SLK58_2003_1412",98.3272306767167,96
"135","NIP58_2003_1421",98.6428216260198,93
"136","KEN110_2003_1423",63.4549872754544,71
"137","DRY58_2003_1441",48.8027733710504,71
"138","SLK57_2003_1479",104.172018615758,96
"139","NIP17_2003_1485",102.849778500699,97
"140","NIP40_2007_1564",109.704786183145,105
"141","KEN41_2007_1566",96.5042705322266,80
"142","THU36_2007_1584",97.2399978637695,78
"143","SUD46_2007_1586",151.072531347806,98
"144","SAU13_2007_1587",223.954088539867,100
"145","RED11_2007_1562",119.449476119527,103
"146","DRY8_2007_1565",104.961909545095,80
"147","TIM3_2007_1585",220.037270417977,100
"148","PEM2_2007_1588",155.152957039798,79
"149","THU19_2016_2001",145.770028810803,103
"150","NOR32_2016_2002",141.843246041912,100
"151","NIP12_2016_2003",122.618817273911,103
"152","HEA4_2016_2004",158.808404336156,103
"153","RED3_2016_2005",67.1086040339605,59
"154","SUD35_2016_2006",181.225536891392,100
"155","WAW7_2016_2010",181.525202384781,100
"156","HEA5_2016_2011",160.111771656671,103
"157","SLK6_2016_2012",68.6238718885056,103
"158","KEN18_2016_2014",92.8072521325011,64
"159","APK20_2016_2015",226.835688059915,100
"160","NIP15_2016_2013",106.519724643404,103
"161","SLK23_2016_2000",72.6178137858709,103
"162","SLK29_2016_2007",70.5635870461685,102
"163","SLK30_2016_2016",77.7865241230398,103
"164","NIP23_2016_2022",87.4506854433595,103
"165","FOR2_2019_2166",117.191845430342,70
"166","RED38_2019_2171",83.1059411882484,103
"167","RED39_2019_2172",86.1437275544778,100
"168","TIM2_2019_2173",228.643252727533,98
"169","RED14_2019_2176",81.042576632307,102
"170","RED40_2019_2177",90.6502569569528,103
"171","RED17_2019_2178",100.513868342942,103
"172","RED30_2019_2182",60.81437861374,103
"173","RED37_2019_2185",87.1019453010303,101
"174","SLK22_2019_2187",127.189443158927,104
"175","SLK8_2019_2188",140.571184618329,104
"176","RED75_2019_2192",86.2663304222955,77
"177","COC10_2019_2162",191.634265656167,101
"178","SLK40_2019_2163",57.4510216538924,104
"179","RED23_2019_2164",61.3738580020209,103
"180","RED44_2019_2165",82.8698742336194,97
"181","SLK38_2019_2167",83.2381187349207,104
"182","SLK33_2019_2168",60.3677383496958,104
"183","RED45_2019_2169",83.0742864967478,100
"184","SLK39_2019_2170",89.3961599258356,104
"185","RED57_2019_2174",60.2679642413036,103
"186","SLK37_2019_2175",70.5824094077413,104
"187","NIP11_2019_2179",99.9578726038296,67
"188","RED59_2019_2180",60.0549737313363,100
"189","RED25_2019_2181",60.1971229796487,103
"190","SLK41_2019_2183",84.126099219689,104
"191","SLK31_2019_2184",57.5142910472978,104
"192","RED24_2019_2186",67.1150371926369,103
"193","RED49_2019_2189",80.0616606255934,95
"194","RED60_2019_2190",60.1318628884367,103
"195","RED62_2019_2193",62.4051698754166,103
"196","NIP95_2017_2114",147.626171684265,119
"197","RED31_2013_1862",93.5884684668567,112
"198","NIP40_2013_1870",93.6027011871338,114
"199","THU16_2013_1877",174.188549784544,110
"200","SLK25_2013_1861",82.6755633128773,114
"201","SLK18_2013_1878",78.1568886650933,364
"202","NIP11_2013_1886",86.8337399434633,114
"203","RED24_2013_1892",80.5471084052411,114
"204","SLK24_2013_1895",81.1729615390716,364
"205","NIP48_2013_1860",89.1789669087058,114
"206","SLK45_2013_1863",83.3981627172353,341
"207","NIP44_2013_1864",155.247373499548,110
"208","RED32_2013_1865",91.6455528063829,114
"209","NIP50_2013_1866",87.0303220137572,114
"210","NIP45_2013_1867",109.254646894446,110
"211","NIP43_2013_1868",117.441901829246,110
"212","SLK27_2013_1869",102.221330439791,123
"213","SLK19_2013_1871",136.949602880752,114
"214","NIP53_2013_1872",92.6143249290577,114
"215","SLK16_2013_1873",105.08078452322,114
"216","NIP51_2013_1874",76.7080333095783,364
"217","SLK35_2013_1875",129.298071228401,114
"218","NIP19_2013_1876",111.695122568693,114
"219","NIP21_2013_1879",108.892801818848,114
"220","RED56_2013_1884",144.725148646952,122
"221","SLK23_2013_1885",83.3157246836713,201
"222","NIP25_2013_1887",141.021234317558,114
"223","RED41_2013_1888",145.902704203865,122
"224","SLK22_2013_1889",88.2121491368949,114
"225","SLK21_2013_1890",116.346641812693,123
"226","SLK31_2013_1891",93.6139078475668,123
"227","SLK37_2013_1893",104.230290888071,114
"228","NIP23_2013_1894",119.180425719925,110
"229","SLK43_2013_1896",77.5226823431861,123
"230","SLK41_2013_1897",78.3770929830177,364
"231","THU65_2012_1859",103.832900954941,70
"232","SLK88_2011_1786",86.8130883567627,109
"233","RED55_2011_1787",109.599653019442,108
"234","RED122_2011_1794",135.957611260678,108
"235","RED26_2011_1806",109.235136397512,108
"236","SLK70_2011_1807",100.333526260343,109
"237","RED103_2011_1812",121.072155432608,108
"238","SLK60_2011_1815",102.752184749696,108
"239","SLK95_2011_1817",107.89915687298,89
"240","SLK61_2011_1819",106.946126124767,89
"241","SLK64_2011_1820",102.317547637163,89
"242","SLK65_2011_1822",103.810347541536,108
"243","RED84_2011_1823",99.11055320503,89
"244","THU33_2011_1829",92.3468413189292,109
"245","THU22_2011_1831",91.5604187879628,108
"246","KEN27_2011_1832",72.1653166179416,364
"247","NIP66_2011_1835",142.416519461646,92
"248","SAU20_2011_1837",112.214556616549,74
"249","RED23_2011_1795",96.7442367465618,89
"250","SLK38_2011_1798",85.5115936449115,109
"251","RED58_2011_1799",102.144621693789,110
"252","RED82_2011_1800",101.227097448119,107
"253","RED85_2011_1818",113.967941180213,84
"254","SLK35_2011_1821",105.80360873783,108
"255","THU51_2011_1828",91.5175196974563,108
"256","SLK84_2011_1669",93.6686050985675,109
"257","RED51_2011_1670",129.449784215291,108
"258","RED36_2011_1671",122.897556471999,108
"259","RED65_2011_1777",102.42339726059,89
"260","RED114_2011_1778",123.668383519631,86
"261","RED107_2011_1779",108.792598068066,121
"262","RED118_2011_1780",106.096961503156,121
"263","SLK85_2011_1781",86.7123389563825,109
"264","SLK87_2011_1782",77.5408874046075,109
