"","Fire_ID","ppt_tsm","tmax_tsm"
"1","SLK4_2003_1401",72.3394972517648,20.5584123927763
"2","WAW21_2003_1406",106.477626211775,16.9333298956162
"3","DRY57_2003_1410",86.7136816955654,19.2618765862915
"4","NIP58_2003_1421",59.1539215863189,18.6697233349145
"5","KEN110_2003_1423",310.382360196315,21.3665964658043
"6","RED68_2003_1428",62.1841750445992,20.1984177920152
"7","SLK20_2003_1434",9.62695404236344,18.8384675431526
"8","SAU7_2003_1436",54.6749568289605,9.37926298500835
"9","DRY58_2003_1441",105.630193990661,18.1810811258131
"10","KLK5_2003_1495",62.2086148936932,13.3499453911414
"11","KLK9_2003_1496",0,17.5011508922138
"12","SLK71_2003_1538",136.247985576021,20.9676871645278
"13","NIP68_2003_1407",116.959705026601,21.9290614901742
"14","SLK70_2003_1431",28.1122221548425,20.0963341360768
"15","SLK66_2003_1432",12.3524583066869,20.518290737228
"16","SLK1_2003_1453",6.63466380963266,19.4283583999943
"17","SLK101_2003_1480",161.208139656487,22.4804326804109
"18","NIP72_2003_1483",126.348681945726,21.5371000029824
"19","SLK65_2003_1488",11.7614814387411,19.9676987849549
"20","SLK94_2003_1494",167.547952478741,22.5454281840269
"21","NIP95_2003_1500",146.383453904163,22.6469073694403
"22","DRY5_2003_1418",594.359999917448,8.10955047607422
"23","FOR11_2003_1420",19.2641419190042,14.1491732888188
"24","FOR14_2003_1484",18.3915160694813,14.2204905505633
"25","SLK51_2003_1403",56.4358280881506,21.0280607741632
"26","SLK58_2003_1412",65.4464193481536,20.8804663713882
"27","RED90_2003_1422",186.454881357095,22.2624874675975
"28","RED91_2003_1438",176.468987507076,22.932627591386
"29","RED65_2003_1440",75.2768407001674,20.4985739199915
"30","SLK57_2003_1479",58.8708235559752,20.7099151284333
"31","RED82_2003_1498",202.40107231497,21.4592871680559
"32","RED93_2003_1545",211.800932343926,22.8731873401163
"33","SLK80_2003_1547",188.208204406082,21.5638610478668
"34","NIP92_2003_1402",196.510281619352,22.7813468522537
"35","WAW13_2003_1409",70.2842159522217,16.1849723497431
"36","NIP42_2003_1430",57.7654717206781,20.2572793709849
"37","NIP81_2003_1437",188.398383804192,22.8002150698075
"38","NIP17_2003_1485",36.1936687818026,16.5937797908626
"39","THU28_2003_1502",91.7355092324038,11.6363780893744
"40","WAW23_2003_1503",71.3028037476776,18.7815308554521
"41","THU66_2003_1537",70.8696511716689,20.8866666715273
"42","NIP59_2003_1555",46.9508028411094,21.7949857671794
"43","NIP79_2003_1558",186.843730334761,22.8422395410445
"44","KLK9_2004_1508",490.804659459793,17.8461699195233
"45","TIM19_2005_1512",146.014569919416,20.1311765308525
"46","FOR14_2005_1514",384.946207560101,20.254915752004
"47","COC10_2005_1519",81.2113699083363,13.0741630162948
"48","THU57_2005_1526",414.175328803019,19.1674274065485
"49","THU67_2005_1528",389.248105339279,19.2915459640462
"50","HEA63_2005_1511",203.143312765045,20.6245785578628
"51","CHA18_2005_1513",163.795171633143,19.8356459669292
"52","TIM7_2005_1515",71.6121226999327,13.3530932430111
"53","FOR24_2005_1516",334.524579788393,19.9982580358929
"54","TIM5_2005_1517",63.7962281759528,13.4479400215217
"55","FOR18_2005_1520",322.645697167025,19.8121274634253
"56","NIP52_2005_1522",266.133248767257,18.1190827039572
"57","NIP80_2005_1523",273.093469926508,19.9801821392622
"58","TIM56_2005_1529",157.047282959415,19.7129113355021
"59","THU31_2005_1510",274.984037574944,18.5148565412322
"60","NIP112_2005_1518",307.395622729996,19.3994432191453
"61","NIP20_2005_1521",142.334487744913,15.0655590601685
"62","THU30_2005_1525",328.494306092475,18.396116009959
"63","THU65_2005_1527",355.736271838616,19.8817314157675
"64","COC37_2005_1533",280.029618043993,19.056337700492
"65","SLK40_2005_1534",334.641856035888,18.3127587223274
"66","SLK25_2005_1535",258.611280420062,17.0799002520806
"67","NIP104_2005_1536",273.489215211862,19.3808630064585
"68","SUD8_2006_1561",79.0441725280634,12.4730921854639
"69","NIP409_2006_1570",311.007021137696,18.1393906326183
"70","NIP322_2006_1573",410.109191933756,18.7933502547881
"71","SLK44_2006_1593",166.385636974005,17.9133680782337
"72","NIP257_2006_1604",323.175289552731,19.0640390211536
"73","NIP323_2006_1607",385.299368385309,19.1464470719262
"74","NIP328_2006_1608",389.114551609755,19.1974557226001
"75","NIP296_2006_1609",356.416085745787,18.893353923857
"76","NIP341_2006_1614",397.95767261781,18.7820850749348
"77","NIP334_2006_1616",260.583219999629,19.5062923517898
"78","NIP338_2006_1664",371.055262168346,18.9810044387044
"79","SLK40_2006_1672",208.90101064164,18.3403981547402
"80","COC34_2006_1686",215.293271250884,20.4611730129919
"81","DRY79_2006_1692",189.606455778833,21.4363951456398
"82","RED84_2006_1576",273.997511340869,20.509489340386
"83","RED175_2006_1577",272.468002270826,20.6421182997363
"84","RED177_2006_1579",329.92972984905,20.5024262161942
"85","RED182_2006_1626",298.369186483629,20.4210216484565
"86","RED183_2006_1627",278.7517322018,20.3572291920134
"87","RED176_2006_1632",293.114025498298,20.6343235654036
"88","RED186_2006_1677",146.809684945501,17.6995741903433
"89","RED192_2006_1680",255.509934392412,20.3118416255976
"90","SAU78_2006_1560",250.015156542627,20.2765861712004
"91","THU246_2006_1597",451.789734332899,19.0509021360366
"92","THU187_2006_1598",436.116168327349,18.9532936497739
"93","THU189_2006_1610",403.776976753813,18.9494804933038
"94","SLK30_2006_1581",165.20224169468,17.8490887771543
"95","SLK118_2006_1590",359.351463529758,19.4483575239414
"96","RED14_2006_1594",105.631960640585,16.1313461228913
