"","Fire_ID","Fire_Year","Fire_Start","BurnDay","Snow_Acc","SnowAccDay","SnowMeltDay","Snow_Melt","SnowCoverDays","ymdPS","peakSnow","sweMean","sweMedian","doPS","tdps","tssm","avg_cmi","avg_vpd","avgBio","cc","age"
"25","NIP52_2005_1522",2005,2005-07-26,206,2004-09-17,260,105,2005-04-16,210,2005-03-27,140.8121542,53.09505232,40.30999756,85,20,101,-0.07,5.905,77.4769439697266,59.452262878418,79.2132263183594
"26","THU30_2005_1525",2005,2005-07-25,205,2004-10-03,276,109,2005-04-20,198,2005-03-29,207.6580087,86.43904742,61.5,87,22,96,2.19,6.0625,102.18106842041,70.490966796875,94.6733856201172
"27","THU57_2005_1526",2005,2005-08-07,218,2004-10-13,286,105,2005-04-16,184,2005-03-28,154.3019078,61.10283411,41.84883924,86,19,113,1.42,6.632,72.720573425293,53.8135566711426,81.1620941162109
"28","THU67_2005_1528",2005,2005-08-08,219,2004-10-05,278,107,2005-04-18,194,2005-03-28,199.294619,82.23998493,57.68000031,86,21,112,1.7,6.53,89.7830429077148,60.4044799804688,91.2460479736328
"29","TIM56_2005_1529",2005,2005-07-18,198,2004-10-17,290,100,2005-04-11,175,2005-03-27,174.8102394,66.33925334,55.81500244,85,15,98,-3.54,7.385,72.7978363037109,52.174259185791,82.3894500732422
"30","FOR18_2005_1520",2005,2005-08-01,212,2004-10-03,276,105,2005-04-16,194,2005-03-27,97.06316424,33.16422735,15.52750015,85,20,107,0.06,7.096,69.2440338134766,52.1072006225586,71.0545272827148
"31","NIP80_2005_1523",2005,2005-08-18,229,2004-10-01,274,113,2005-04-24,204,2005-03-27,102.6686872,38.77635534,17.29000092,85,28,116,-0.67,6.54,74.7704544067383,58.2282257080078,72.4830474853516
"32","THU65_2005_1527",2005,2005-08-10,221,2004-10-03,276,113,2005-04-24,202,2005-03-29,191.2516255,77.3400748,54.30833054,87,26,108,1.86,6.484,74.8179473876953,51.5748634338379,89.0625076293945
"33","SLK11_2007_1658",2007,2007-05-11,130,2006-10-04,276,114,2007-04-25,203,2007-03-20,107.580315,38.10078507,20.79634457,78,36,16,7.48,4.675,63.4753837585449,53.812255859375,74.2605438232422
"34","DRY10_2007_1659",2007,2007-05-06,125,2006-10-05,277,112,2007-04-23,200,2007-03-20,94.16253733,32.45644047,17.42000008,78,34,13,4.29,4.615,61.5518074035645,48.5521240234375,64.9540824890137
"35","NIP26_2007_1660",2007,2007-05-11,130,2006-09-26,268,112,2007-04-23,209,2007-03-20,118.8747182,40.90257803,10.39000034,78,34,18,3.47,4.15,71.2615966796875,60.0569534301758,68.2421951293945
"36","THU39_2007_1661",2007,2007-05-14,133,2006-10-15,287,112,2007-04-23,190,2007-03-20,127.7505519,45.7510355,21.84687519,78,34,21,3.9,4.24,52.1874084472656,59.7082481384277,63.0572776794434
"37","THU37_2007_1662",2007,2007-05-10,129,2006-10-14,286,114,2007-04-25,193,2007-03-21,75.5863553,22.67134401,15.61642838,79,35,15,0.45,5.22,64.6724014282227,51.0943908691406,67.9443702697754
"38","SAU78_2006_1560",2006,2006-09-18,260,2005-10-18,290,109,2006-04-20,184,2006-03-07,108.5956824,34.35934693,8.550000191,65,44,151,-2.39,5.99666666666667,126.024879455566,83.2721481323242,89.3248977661133
"39","SUD8_2006_1561",2006,2006-05-10,129,2005-10-16,288,82,2006-03-24,159,2006-03-08,96.9593959,21.73433205,3.575999975,66,16,47,3.2,4.28333333333333,53.0444412231445,37.4000930786133,68.2001075744629
"40","NIP262_2006_1567",2006,2006-09-08,250,2005-11-09,312,110,2006-04-21,163,2006-12-31,138.1188533,62.13222301,65.56832886,364,-254,140,-1.28,5.435,74.79638671875,57.9269065856934,76.0224151611328
"41","THU113_2006_1568",2006,2006-09-08,250,2005-11-08,311,85,2006-03-27,139,2006-03-06,58.78702758,20.52385089,8.920000076,64,21,165,-1.28,6.54285714285714,56.0827941894531,38.1374168395996,79.1368560791016
"42","NIP406_2006_1569",2006,2006-09-14,256,2005-11-18,321,107,2006-04-18,151,2006-12-31,119.6219287,48.50019035,47.93999863,364,-257,149,-1.45,5.54666666666667,27.7389755249023,19.4858722686768,43.174015045166
"43","NIP322_2006_1573",2006,2006-09-09,251,2005-10-09,281,83,2006-03-25,167,2006-04-10,81.8198507,31.70741015,32.29000092,99,-16,168,-1.17,6.09428571428571,58.1538391113281,51.425537109375,60.9998474121094
"44","NIP391_2006_1575",2006,2006-09-15,257,2005-10-22,294,85,2006-03-27,156,2006-12-31,122.1529699,49.16758104,47.13199997,364,-279,172,-0.64,4.87,103.093559265137,70.1949005126953,99.3738174438477
"45","NIP70_2006_1583",2006,2006-07-14,194,2005-09-30,272,113,2006-04-24,206,2006-12-31,107.3205847,30.8676066,27.17000008,364,-251,81,0.22,6.1125,96.1795120239258,68.9733352661133,102.498001098633
"46","NIP257_2006_1604",2006,2006-09-08,250,2005-11-27,330,89,2006-03-31,124,2006-10-29,59.84722614,20.19237435,5.869999886,301,-212,161,-1.07,5.78142857142857,81.7809143066406,60.8153228759766,80.1436233520508
"47","NIP245_2006_1605",2006,2006-09-08,250,2005-11-12,315,110,2006-04-21,160,2006-12-31,106.5845367,42.38761126,41.57999802,364,-254,140,-1.58,6.04,58.6371078491211,49.7458877563477,78.4095611572266
"48","COC14_2006_1606",2006,2006-05-10,129,2005-09-15,257,112,2006-04-23,220,2006-03-22,202.5241581,78.13183129,66.77999878,80,32,17,-0.32,5.335,82.7901229858398,62.073112487793,79.9498138427734
