"","Fire_ID","BurnDay"
"204","SLK24_2013_1895",160
"205","NIP48_2013_1860",192
"206","SLK45_2013_1863",193
"207","NIP44_2013_1864",186
"208","RED32_2013_1865",184
"209","NIP50_2013_1866",188
"210","NIP45_2013_1867",170
"211","NIP43_2013_1868",184
"212","SLK27_2013_1869",159
"213","SLK19_2013_1871",158
"214","NIP53_2013_1872",182
"215","SLK16_2013_1873",160
"216","NIP51_2013_1874",187
"217","SLK35_2013_1875",184
"218","NIP19_2013_1876",185
"219","NIP21_2013_1879",152
"220","RED56_2013_1884",198
"221","SLK23_2013_1885",161
"222","NIP25_2013_1887",160
"223","RED41_2013_1888",187
"224","SLK22_2013_1889",159
"225","SLK21_2013_1890",158
"226","SLK31_2013_1891",174
"227","SLK37_2013_1893",185
"228","NIP23_2013_1894",158
"229","SLK43_2013_1896",172
"230","SLK41_2013_1897",210
"231","THU65_2012_1859",256
"232","SLK88_2011_1786",198
"233","RED55_2011_1787",199
"234","RED122_2011_1794",201
"235","RED26_2011_1806",182
"236","SLK70_2011_1807",189
"237","RED103_2011_1812",197
"238","SLK60_2011_1815",189
"239","SLK95_2011_1817",199
"240","SLK61_2011_1819",187
"241","SLK64_2011_1820",187
"242","SLK65_2011_1822",185
"243","RED84_2011_1823",192
"244","THU33_2011_1829",158
"245","THU22_2011_1831",139
"246","KEN27_2011_1832",190
"247","NIP66_2011_1835",212
"248","SAU20_2011_1837",281
"249","RED23_2011_1795",185
"250","SLK38_2011_1798",168
"251","RED58_2011_1799",187
"252","RED82_2011_1800",197
"253","RED85_2011_1818",192
"254","SLK35_2011_1821",165
"255","THU51_2011_1828",212
"256","SLK84_2011_1669",196
"257","RED51_2011_1670",184
"258","RED36_2011_1671",185
"259","RED65_2011_1777",198
"260","RED114_2011_1778",196
"261","RED107_2011_1779",198
"262","RED118_2011_1780",198
"263","SLK85_2011_1781",198
"264","SLK87_2011_1782",196
"265","RED100_2011_1783",197
"266","RED54_2011_1784",197
"267","SLK48_2011_1785",184
"268","SLK47_2011_1788",183
"269","RED32_2011_1789",186
"270","RED123_2011_1790",199
"271","NIP40_2011_1791",191
"272","RED53_2011_1792",187
"273","RED120_2011_1793",200
"274","RED24_2011_1796",184
"275","RED22_2011_1797",183
"276","RED73_2011_1801",187
"277","RED101_2011_1802",190
"278","RED106_2011_1803",201
"279","RED96_2011_1804",198
"280","SLK50_2011_1805",196
"281","SLK51_2011_1808",196
"282","RED29_2011_1809",187
"283","SLK76_2011_1810",195
"284","NIP55_2011_1811",201
"285","RED50_2011_1813",196
"286","RED52_2011_1814",186
"287","RED72_2011_1816",198
"288","SLK82_2011_1824",195
"289","THU58_2011_1825",210
"290","THU50_2011_1826",203
"291","COC25_2011_1827",221
"292","THU80_2011_1830",246
"293","FOR42_2011_1834",240
"294","FOR17_2011_1836",201
"295","RED7_2009_1725",168
"296","SLK25_2009_1726",176
"297","SLK24_2009_1727",175
"298","KEN28_2015_1959",143
"299","RED10_2015_1960",147
"300","COC12_2015_1961",179
"301","SUD38_2015_1970",211
"302","KEN5_2015_1971",105
"303","RED50_2015_1999",192
"304","NIP38_2015_1995",176
"305","SLK32_2015_1980",177
"306","RED7_2015_1998",147
"307","RED59_2015_1962",188
"308","SLK55_2015_1963",191
"309","NIP20_2015_1965",159
"310","RED24_2015_1966",176
"311","SLK19_2015_1967",159
"312","RED44_2015_1968",196
"313","SLK53_2015_1969",189
"314","NIP31_2015_1972",181
"315","NIP32_2015_1973",181
"316","SLK23_2015_1974",177
"317","SLK30_2015_1975",181
"318","NIP24_2015_1976",183
"319","COC13_2015_1977",173
"320","NIP23_2015_1979",172
"321","SLK21_2015_1981",178
"322","SLK67_2015_1982",195
"323","RED25_2015_1983",184
"324","NIP19_2015_1984",158
"325","SLK36_2015_1985",179
"326","RED11_2015_1986",146
"327","RED58_2015_1987",195
"328","SLK62_2015_1988",195
"329","SLK41_2015_1989",180
"330","NIP30_2015_1990",179
"331","NIP17_2015_1991",172
"332","SLK28_2015_1992",177
"333","RED17_2015_1993",168
"334","RED16_2015_1994",168
"335","RED46_2015_1996",182
"336","SLK57_2015_1997",191
"337","SLK26_2017_2089",207
"338","NIP99_2017_2094",225
"339","SLK237_2017_1939",291
"340","SLK45_2017_1940",211
"341","RED23_2017_1941",209
"342","NIP78_2017_1942",219
"343","NIP37_2017_1945",211
"344","SLK187_2017_1946",229
"345","SLK8_2017_1947",194
"346","SLK32_2017_1948",209
"347","SLK42_2017_1949",209
"348","SLK36_2017_1950",212
"349","SLK129_2017_1951",222
"350","NIP12_2017_1952",187
"351","NIP40_2017_1953",210
"352","NIP75_2017_1954",222
"353","NIP46_2017_1955",240
"354","SLK102_2017_1956",224
"355","NIP64_2017_1957",223
"356","SLK115_2017_2023",223
"357","NIP32_2017_2024",210
"358","RED34_2017_2025",218
"359","SLK200_2017_2026",236
"360","NIP54_2017_2027",225
"361","SLK175_2017_2072",244
"362","THU58_2017_2073",255
"363","SLK96_2017_2074",220
"364","SLK43_2017_2075",211
"365","SLK82_2017_2076",219
"366","SLK23_2017_2077",209
"367","NIP29_2017_2078",217
"368","NIP77_2017_2079",223
"369","NIP68_2017_2080",223
"370","SLK122_2017_2081",224
"371","SLK157_2017_2082",225
"372","SLK44_2017_2083",210
"373","NIP73_2017_2084",210
"374","THU59_2017_2085",256
"375","SLK64_2017_2086",216
"376","THU61_2017_2087",254
"377","RED87_2017_2088",224
"378","NIP9_2017_2090",187
"379","NIP39_2017_2091",216
"380","RED69_2017_2092",237
"381","THU31_2017_2093",214
"382","SLK103_2017_2095",223
"383","SLK63_2017_2096",215
"384","NIP98_2017_2097",223
"385","RED56_2017_2098",210
"386","SLK7_2017_2099",192
"387","SLK162_2017_2100",227
"388","SLK68_2017_2101",224
"389","RED103_2017_2102",226
"390","NIP65_2017_2103",223
"391","NIP11_2017_2104",186
"392","SLK38_2017_2105",223
"393","SLK33_2017_2106",208
"394","SLK17_2017_2107",209
"395","SLK52_2017_2110",224
"396","NIP38_2017_2111",210
"397","NIP105_2017_2112",223
"398","RED54_2017_2113",224
"399","SLK37_2020_2160",206
"400","THU4_2020_2161",134
"401","RED12_2020_2194",169
"402","NIP47_2020_2196",223
"403","SLK26_2020_2197",201
"404","RED8_2020_2198",168
"405","RED24_2020_2199",185
"406","SLK36_2020_2200",207
"407","SLK25_2020_2201",201
"408","NIP30_2020_2202",191
"409","NIP46_2020_2203",221
"410","RED29_2020_2204",191
"411","SLK3_2020_2205",168
"412","NIP51_2020_2206",221
"413","NIP26_2020_2207",191
"414","NIP45_2020_2208",223
"415","RED49_2020_2210",224
"416","CHA3_2020_2213",184
"417","SLK48_2020_2214",221
"418","RED9_2020_2216",168
"419","SLK47_2020_2217",221
"420","RED30_2020_2218",159
"421","RED22_2020_2195",189
"422","RED18_2020_2209",187
"423","NIP40_2020_2211",219
"424","COC11_2020_2212",219
"425","COC12_2020_2215",205
"426","NOR68_2018_2028",190
"427","RED110_2018_2030",199
"428","PEM7_2018_2038",199
"429","NOR56_2018_2044",186
"430","TIM6_2018_2045",178
"431","NIP5_2018_2048",144
"432","NOR62_2018_2053",189
"433","KEN71_2018_2063",197
"434","NIP10_2018_2066",164
"435","PAR33_2018_2071",200
"436","SLK117_2018_2117",193
"437","NOR69_2018_2119",186
"438","NOR25_2018_2121",181
"439","SUD83_2018_2125",181
"440","SLK49_2018_2128",188
"441","NOR42_2018_2129",181
"442","KEN77_2018_2140",200
"443","COC8_2018_2145",196
"444","RED60_2018_2150",179
"445","NIP24_2018_2151",177
"446","TIM12_2018_2153",193
"447","RED115_2018_2156",196
"448","NOR72_2018_2035",190
"449","NIP29_2018_2055",191
"450","COC14_2018_2126",200
"451","RED38_2018_2029",169
"452","NIP13_2018_2031",171
"453","RED30_2018_2032",142
"454","RED108_2018_2033",195
"455","NIP37_2018_2034",196
"456","THU52_2018_2036",224
"457","NIP40_2018_2037",197
"458","FOR24_2018_2039",235
"459","RED82_2018_2040",197
"460","COC20_2018_2041",200
"461","HEA12_2018_2042",196
"462","SLK44_2018_2043",192
"463","SLK51_2018_2046",188
"464","SLK48_2018_2047",192
"465","RED80_2018_2049",199
"466","NIP32_2018_2050",191
"467","THU36_2018_2051",209
"468","RED170_2018_2052",144
"469","SLK19_2018_2054",169
"470","SLK23_2018_2056",169
"471","NIP27_2018_2057",177
"472","SLK37_2018_2058",178
"473","NIP31_2018_2059",190
"474","RED86_2018_2060",199
"475","RED103_2018_2061",195
"476","SLK57_2018_2062",191
"477","RED97_2018_2064",200
"478","SLK68_2018_2065",196
"479","SLK53_2018_2067",188
"480","SLK18_2018_2068",176
"481","NOR46_2018_2069",182
"482","RED67_2018_2070",193
"483","NIP30_2018_2115",190
"484","RED96_2018_2116",199
"485","SLK56_2018_2118",192
"486","NIP53_2018_2122",202
"487","SLK67_2018_2123",195
"488","RED55_2018_2124",179
"489","RED81_2018_2127",197
"490","RED57_2018_2130",171
"491","NIP45_2018_2132",200
"492","SLK162_2018_2133",249
"493","NOR61_2018_2134",190
"494","SLK113_2018_2135",222
"495","NOR19_2018_2136",189
"496","PEM6_2018_2137",201
"497","RED78_2018_2138",198
"498","COC15_2018_2139",198
"499","NOR55_2018_2141",186
"500","SLK26_2018_2142",176
"501","SLK55_2018_2143",188
"502","SLK22_2018_2144",171
"503","NIP20_2018_2146",177
"504","RED76_2018_2147",199
"505","RED52_2018_2148",177
"506","RED70_2018_2149",195
"507","NIP49_2018_2152",210
"508","SLK27_2018_2154",176
"509","RED109_2018_2155",173
"510","NIP16_2018_2157",178
"511","RED121_2018_2158",198
"512","COC36_2018_2159",218
"513","RED41_2012_1758",196
"514","SLK85_2012_1760",200
"515","KLK8_2012_1841",142
"516","RED49_2012_1844",189
"517","RED28_2012_1849",157
"518","TIM9_2012_1852",141
"519","KLK13_2012_1856",147
"520","TIM7_2012_1898",136
"521","RED39_2012_1901",194
"522","TIM47_2012_1903",205
"523","WAW5_2012_1904",134
"524","KLK11_2012_1907",142
"525","COC10_2012_1911",141
"526","WAW4_2012_1916",134
"527","KEN36_2012_1917",138
"528","TIM27_2012_1921",178
"529","CHA8_2012_1924",135
"530","NIP32_2012_1929",193
"531","PEM25_2012_1933",202
"532","WAW17_2012_1934",141
"533","SLK20_2012_1919",157
"534","HEA9_2012_1920",142
"535","SLK105_2012_1931",219
"536","RED103_2012_1757",213
"537","SLK73_2012_1759",213
"538","NIP104_2012_1761",247
"539","NIP59_2012_1762",195
"540","NIP49_2012_1763",197
"541","NIP63_2012_1764",194
"542","SLK26_2012_1765",158
"543","SLK72_2012_1766",200
"544","NIP24_2012_1838",162
"545","RED69_2012_1839",196
"546","SLK101_2012_1840",211
"547","RED53_2012_1842",196
"548","RED61_2012_1843",199
"549","RED57_2012_1845",201
"550","SLK91_2012_1846",210
"551","NIP60_2012_1848",256
"552","SLK32_2012_1850",160
"553","SLK74_2012_1851",201
"554","KEN103_2012_1853",251
"555","RED94_2012_1854",209
"556","SLK29_2012_1855",160
"557","SLK82_2012_1857",203
"558","THU35_2012_1858",191
"559","RED60_2012_1899",200
"560","RED66_2012_1900",197
"561","RED52_2012_1902",196
"562","RED64_2012_1905",200
"563","RED72_2012_1906",200
"564","RED51_2012_1908",196
"565","RED59_2012_1909",190
"566","SLK97_2012_1910",211
"567","NIP62_2012_1912",203
"568","RED38_2012_1913",194
"569","SLK71_2012_1914",187
"570","SLK81_2012_1915",198
"571","RED71_2012_1918",194
"572","RED58_2012_1922",200
"573","RED63_2012_1923",197
"574","RED34_2012_1925",185
"575","RED50_2012_1926",197
"576","SLK79_2012_1927",197
"577","SLK93_2012_1928",206
