"","X.1","X","Fire_ID","Fire_Year","Fire_Start","BurnDay","SnowAccDay","sdd","scf","tssm","sweMean","sweMedian","avgBio","cc","age","tri","ppt_tsm","tmax_tsm","RBR_median","RBR_quant","RBR_cv","FIRE_FINAL","size_class","dmc","ffmc","dc","pyroregion","ecoregion"
"11",11,11,"NIP104_2005_1536",2005,"2005-08-09",220,292,101,0.47,119,62.11634995,36.56999969,112.87281036377,77.7447814941406,110.317741394043,4.12350034713745,273.489215211862,19.3808630064585,167.7607524,444.36069655226,0.955795169,65,1,23.6534338289723,73.7097072370648,272.107836151443,1,"Big Trout Lake"
"12",12,12,"WAW21_2003_1406",2003,"2003-06-21",171,305,111,0.47,60,80.69002273,72.40663064,83.2938613891602,54.3035888671875,93.7702941894531,15.8516550064087,106.477626211775,16.9333298956162,195.0338972,325.808122948234,0.618899405,5783,2,70.5434270982395,91.4717390164054,222.095354679912,0,"Lake Abitibi"
"13",13,13,"SLK20_2003_1434",2003,"2003-05-17",136,310,99,0.43,37,49.4120488,58.22000122,107.317153930664,79.8221664428711,81.8260650634766,5.94026803970337,9.62695404236344,18.8384675431526,366.0191263,549.04693456197,0.594283879,52,1,39.3647423628887,91.7567893280127,81.0696573569661,1,"Lake Nipigon"
"14",14,14,"SAU7_2003_1436",2003,"2003-05-06",125,337,99,0.32,26,20.15449325,3.186666727,27.4956130981445,24.9505653381348,49.4082221984863,7.86517333984375,54.6749568289605,9.37926298500835,157.9174946,206.352016301205,0.269655228,90,1,27.625677964055,90.4284077903212,52.4676505569773,0,"Georgian Bay"
"15",15,15,"RED65_2003_1440",2003,"2003-06-18",168,290,98,0.44,70,19.75185831,16.90999985,71.6021881103516,61.5876617431641,73.3930435180664,17.1703834533691,75.2768407001674,20.4985739199915,414.2822236,519.123456088452,0.381724358,135,1,22.3043972860405,83.1839798109915,181.221496059212,0,"Lake St. Joseph"
"16",16,16,"KLK5_2003_1495",2003,"2003-05-20",139,316,102,0.4,37,46.03131075,29.93000031,43.0733642578125,32.8975143432617,44.3371887207031,14.037712097168,62.2086148936932,13.3499453911414,110.0749227,203.09893080493,0.663647413,172,1,19.6085601719229,91.1011117865154,48.6879317316189,0,NA
"17",17,17,"KLK9_2003_1496",2003,"2003-05-07",126,275,119,0.47,7,80.89306512,72.16999817,74.8881149291992,52.9544296264648,76.8685455322266,12.8245191574097,0,17.5011508922138,391.8168297,438.120965964635,0.224900156,103,1,12.5272502270317,88.2202228489168,27.8681619641805,0,"Lake Abitibi"
"18",18,18,"THU28_2003_1502",2003,"2003-05-09",128,326,95,0.36,33,50.15644518,27.62000084,60.753963470459,42.110652923584,61.8514404296875,8.73504638671875,91.7355092324038,11.6363780893744,77.5923027,140.083775481296,0.624892473,50,1,34.8713068061709,88.2738174593007,63.1432306022818,1,"Pigeon River"
"19",19,19,"WAW23_2003_1503",2003,"2003-06-21",171,280,115,0.48,56,66.72090199,66.23999786,74.2804489135742,54.2152709960938,92.1700057983398,31.5488605499268,71.3028037476776,18.7815308554521,218.0902209,341.385552457478,0.435790926,746,2,75.5988365938332,91.3103196413583,232.679256306918,0,"Lake Abitibi"
"20",20,20,"THU66_2003_1537",2003,"2003-06-23",173,310,113,0.46,60,46.33181585,52.40200043,95.0562133789062,64.900146484375,93.5423812866211,19.2344570159912,70.8696511716689,20.8866666715273,284.8863745,457.394724737879,0.464809984,250,1,22.4984154015585,89.7704829918141,193.284741027179,1,"Lake Nipigon"
"21",21,21,"NIP112_2005_1518",2005,"2005-08-08",219,277,110,0.45,109,58.18673347,35.59999847,102.747909545898,70.6497802734375,99.7985305786133,10.0247688293457,307.395622729996,19.3994432191453,213.8314429,412.204231841523,0.685264587,325,1,21.3851562968768,79.3275097293187,218.726000164811,1,"Big Trout Lake"
"22",22,22,"COC10_2005_1519",2005,"2005-05-27",146,304,103,0.4,43,79.75885767,71.55999756,74.6438217163086,53.7310218811035,105.772071838379,5.72784042358398,81.2113699083363,13.0741630162948,259.5454479,477.635190029475,0.581645131,350,1,38.7334624269175,94.947327442817,80.8007837005461,0,"Lake Abitibi"
"23",23,23,"NIP20_2005_1521",2005,"2005-06-21",171,292,101,0.46,70,68.27493013,42.01250076,107.415519714355,75.3913116455078,96.9455718994141,20.4031238555908,142.334487744913,15.0655590601685,295.4473562,460.783296586067,0.583330631,13623,3,47.5450642853132,91.4257988189064,228.344001687317,1,"Lake Nipigon"
"24",24,24,"NIP52_2005_1522",2005,"2005-07-26",206,260,98,0.37,108,53.09505232,40.30999756,77.4769439697266,59.452262878418,79.2132263183594,18.5635738372803,266.133248767257,18.1190827039572,337.2656486,492.249083730916,0.436991513,134,1,31.5608865074856,79.2469957882392,265.601433365002,1,"Lake Nipigon"
"25",25,25,"THU30_2005_1525",2005,"2005-07-25",205,276,105,0.49,100,86.43904742,61.5,102.18106842041,70.490966796875,94.6733856201172,9.93292999267578,328.494306092475,18.396116009959,166.4663387,272.792759362931,0.484222859,429,1,35.2722252249809,90.704786787389,208.6074030749,1,"Lake Nipigon"
"26",26,26,"THU57_2005_1526",2005,"2005-08-07",218,286,99,0.39,119,61.10283411,41.84883924,72.720573425293,53.8135566711426,81.1620941162109,14.4364757537842,414.175328803019,19.1674274065485,124.9559996,261.259334794959,0.707384109,6000,2,46.8586930339208,90.7303510730998,265.903295447286,1,"Lake Nipigon"
"27",27,27,"THU67_2005_1528",2005,"2005-08-08",219,278,104,0.46,115,82.23998493,57.68000031,89.7830429077148,60.4044799804688,91.2460479736328,10.263466835022,389.248105339279,19.2915459640462,108.872735,189.581303844654,0.581949949,2326,2,33.8634812941775,68.5109127765413,256.386652561658,1,"Lake Nipigon"
"28",28,28,"TIM56_2005_1529",2005,"2005-07-18",198,290,87,0.33,111,66.33925334,55.81500244,72.7978363037109,52.174259185791,82.3894500732422,2.07451462745667,157.047282959415,19.7129113355021,295.2758044,487.253508189107,0.41890806,67,1,72.8809277029063,91.0634894134856,344.333635206074,0,"Lake Abitibi"
"29",29,29,"FOR18_2005_1520",2005,"2005-08-01",212,276,93,0.38,119,33.16422735,15.52750015,69.2440338134766,52.1072006225586,71.0545272827148,12.3899078369141,322.645697167025,19.8121274634253,108.6817978,262.894242154029,0.794505775,84,1,21.2849251435218,66.7348231565247,206.32725038034,1,"Pigeon River"
"30",30,30,"NIP80_2005_1523",2005,"2005-08-18",229,274,105,0.42,124,38.77635534,17.29000092,74.7704544067383,58.2282257080078,72.4830474853516,49.1989898681641,273.093469926508,19.9801821392622,166.9678461,256.557289640942,0.55975759,4400,2,18.8347615103203,41.0685608656056,341.372084351749,1,"Lake Nipigon"
"31",31,31,"THU65_2005_1527",2005,"2005-08-10",221,276,106,0.45,115,77.3400748,54.30833054,74.8179473876953,51.5748634338379,89.0625076293945,15.7124042510986,355.736271838616,19.8817314157675,111.1280802,190.690778787748,0.643021882,1574,2,32.8945439365497,87.3319159119138,247.901711475114,1,"Lake Nipigon"
"32",32,32,"SLK11_2007_1658",2007,"2007-05-11",130,276,102,0.44,28,38.10078507,20.79634457,63.4753837585449,53.812255859375,74.2605438232422,16.4070682525635,10.605929357438,17.8385855309798,228.0298135,393.856258489604,0.571050346,16702,3,41.7343724129948,89.9815196069339,162.098950944278,1,"Lake Nipigon"
"33",33,33,"DRY10_2007_1659",2007,"2007-05-06",125,277,97,0.38,28,32.45644047,17.42000008,61.5518074035645,48.5521240234375,64.9540824890137,46.1167945861816,8.96823077385242,16.6031533461351,80.66807217,218.86084348633,0.743372858,67,1,30.4299926704125,89.7041274626392,173.497319863711,1,"Lake Wabigoon"
"34",34,34,"NIP26_2007_1660",2007,"2007-05-11",130,268,90,0.24,40,40.90257803,10.39000034,71.2615966796875,60.0569534301758,68.2421951293945,20.324291229248,15.9209252372552,15.4228015064386,323.6586099,392.162264429739,0.231071874,120,1,49.8443646334103,90.7186097404643,142.088051518512,1,"Lake Nipigon"
"35",35,35,"THU39_2007_1661",2007,"2007-05-14",133,287,102,0.36,31,45.7510355,21.84687519,52.1874084472656,59.7082481384277,63.0572776794434,15.1753854751587,23.1564264449533,15.4309683205946,256.6058134,390.106770505537,0.437391847,685,2,62.4083737762052,90.7054972905252,185.849054465906,1,"Lake Nipigon"
"36",36,36,"THU37_2007_1662",2007,"2007-05-10",129,286,100,0.35,29,22.67134401,15.61642838,64.6724014282227,51.0943908691406,67.9443702697754,38.4715538024902,2.8400296399811,17.407297520606,328.7126485,454.393578050916,0.407567888,13051,3,54.9739686448994,92.4126281832285,160.306267710375,1,NA
"37",37,37,"SAU78_2006_1560",2006,"2006-09-18",260,290,99,0.39,161,34.35934693,8.550000191,126.024879455566,83.2721481323242,89.3248977661133,0,250.015156542627,20.2765861712004,188.2917043,248.2130456211,0.191344723,52,1,26.4559307022582,60.1659637473231,367.605741805381,0,"Georgian Bay"
"38",38,38,"SUD8_2006_1561",2006,"2006-05-10",129,288,98,0.34,31,21.73433205,3.575999975,53.0444412231445,37.4000930786133,68.2001075744629,29.3818397521973,79.0441725280634,12.4730921854639,176.0343299,256.266062982884,0.299263328,86,1,42.5409737400633,90.1316538429863,92.1223727839875,0,"Georgian Bay"
"39",39,39,"NIP262_2006_1567",2006,"2006-09-08",250,312,101,0.41,149,62.13222301,65.56832886,74.79638671875,57.9269065856934,76.0224151611328,26.8009967803955,283.954089396202,19.9110333256828,115.8580004,200.735872252061,0.46358946,110,1,63.2272745785772,87.1524368988146,468.237522449441,1,"Lake Nipigon"
"40",40,40,"THU113_2006_1568",2006,"2006-09-08",250,311,100,0.44,150,20.52385089,8.920000076,56.0827941894531,38.1374168395996,79.1368560791016,2,425.865458372477,20.2902777388289,268.5466439,448.326862689091,0.465512127,50,1,58.3098681341252,90.4836790135587,388.306233166213,1,"Lake Nipigon"
"41",41,41,"NIP406_2006_1569",2006,"2006-09-14",256,321,100,0.41,156,48.50019035,47.93999863,27.7389755249023,19.4858722686768,43.174015045166,40.9624061584473,262.680531459555,19.6250070321631,187.596447,258.1177258688,0.354031473,464,1,43.4956094924224,87.6711744607486,458.370374464084,1,"Lake Nipigon"
"42",42,42,"NIP322_2006_1573",2006,"2006-09-09",251,281,99,0.39,152,31.70741015,32.29000092,58.1538391113281,51.425537109375,60.9998474121094,50.9026069641113,410.109191933756,18.7933502547881,70.15435773,113.721755134155,0.473523617,71,1,40.5378089582229,54.7896965370827,406.759766927221,1,"Lake Nipigon"
"43",43,43,"NIP391_2006_1575",2006,"2006-09-15",257,294,99,0.4,158,49.16758104,47.13199997,103.093559265137,70.1949005126953,99.3738174438477,46.7345657348633,323.433082868302,18.1038793897158,165.9074661,228.976438585231,0.394490153,595,2,45.772582819342,86.689010248616,471.137569015495,1,"Lake Nipigon"
"44",44,44,"NIP70_2006_1583",2006,"2006-07-14",194,272,109,0.48,85,30.8676066,27.17000008,96.1795120239258,68.9733352661133,102.498001098633,16.8341503143311,201.498346933487,18.762472394592,428.0911564,532.087446212855,0.341968715,636,2,23.2265551028444,91.75150723659,200.656637211378,1,"Big Trout Lake"
"45",45,45,"NIP257_2006_1604",2006,"2006-09-08",250,330,105,0.39,145,20.19237435,5.869999886,81.7809143066406,60.8153228759766,80.1436233520508,25.4558849334717,323.175289552731,19.0640390211536,138.099975,196.499468762532,0.39398396,79,1,59.7275290028429,89.8436111181728,459.653903177125,1,"Lake Nipigon"
"46",46,46,"NIP245_2006_1605",2006,"2006-09-08",250,315,99,0.4,151,42.38761126,41.57999802,58.6371078491211,49.7458877563477,78.4095611572266,15.4981660842896,302.040312240791,20.2813670557478,140.0102861,193.060089529402,0.365573615,188,1,60.3554242799734,89.0073617119443,465.914128962493,1,"Lake Nipigon"
"47",47,47,"NIP323_2006_1607",2006,"2006-09-16",258,305,99,0.39,159,16.70013587,6.889999866,38.8509712219238,35.8728981018066,52.2906761169434,18.8667068481445,385.299368385309,19.1464470719262,124.0313859,186.141661303954,0.466386199,1564,2,53.319542337568,82.8303050178624,457.646877078034,1,"Lake Nipigon"
"48",48,48,"NIP328_2006_1608",2006,"2006-09-09",251,272,101,0.4,150,15.41280853,5.659999847,65.2501678466797,58.5117645263672,68.9649887084961,8.66747951507568,389.114551609755,19.1974557226001,116.752253,203.328376535263,0.490831107,220,1,41.7803534314687,56.512927310935,408.786707746928,1,"Lake Nipigon"
"49",49,49,"NIP296_2006_1609",2006,"2006-09-15",257,279,99,0.41,158,19.33951882,7.650000095,50.5238189697266,42.5095748901367,66.1404418945312,10.1553144454956,356.416085745787,18.893353923857,225.3032313,283.620216380068,0.315778464,1563,2,50.2100582332881,86.7006436625308,459.010736784742,1,"Lake Nipigon"
"50",50,50,"THU189_2006_1610",2006,"2006-09-15",257,316,99,0.39,158,30.72518066,27.39999962,62.2501602172852,53.0707893371582,59.7820129394531,29.0439014434814,403.776976753813,18.9494804933038,103.266097,244.444062386658,0.632793128,445,1,49.923084213872,87.3521421628844,449.013689638685,1,"Lake Nipigon"
"51",51,51,"THU185_2006_1633",2006,"2006-09-15",257,315,98,0.41,159,21.00339447,5.340000153,99.2238540649414,72.3177337646484,86.265983581543,39.3484573364258,393.798232711246,19.1321548765723,163.66605,251.71258513058,0.483908027,1053,2,60.6428170481231,89.3149295208189,443.552041509852,1,"Lake Nipigon"
"52",52,52,"THU144_2006_1638",2006,"2006-09-17",259,272,102,0.43,157,25.56656742,13.66499996,62.7766189575195,60.8821716308594,65.6213150024414,18.7722511291504,344.496045399477,21.1070008758889,229.243388,332.451345838268,0.462057173,2386,2,33.666166809473,21.3463571715518,394.66228447861,1,"Lake Nipigon"
"53",53,53,"THU249_2006_1639",2006,"2006-09-10",252,305,99,0.42,153,15.16748393,1.910000086,78.8308944702148,56.7421035766602,66.2085800170898,4,389.46120155084,19.1489094118529,283.3394978,390.273288822384,0.269373626,49,1,45.3273660631183,76.156737560164,412.514925559924,1,"Lake Nipigon"
