"","Fire_ID","TmaxDay"
"129","NIP400_2006_1613",23.3363213119112
"130","NIP402_2006_1615",12.172602875592
"131","THU185_2006_1633",24.0934691257149
"132","THU142_2006_1634",20.8183830818101
"133","THU234_2006_1635",20.398658995576
"134","THU190_2006_1636",22.8840976502754
"135","NIP430_2006_1637",18.768670702314
"136","THU144_2006_1638",16.9205704443879
"137","THU249_2006_1639",15.0626584970498
"138","THU163_2006_1640",23.7808499895886
"139","NIP267_2006_1641",24.3959722518921
"140","THU143_2006_1642",18.7293628817107
"141","NIP344_2006_1643",22.5582361659225
"142","NIP226_2006_1644",27.9246420928605
"143","NIP415_2006_1645",24.1500906965851
"144","NIP428_2006_1646",23.1669163091506
"145","THU184_2006_1647",24.6234129761223
"146","NIP414_2006_1648",21.5829903403006
"147","THU151_2006_1650",27.5336402510001
"148","NIP108_2006_1651",25.5587994384766
"149","THU176_2006_1652",27.2118626388849
"150","THU167_2006_1653",12.0848432234622
"151","NIP276_2006_1655",22.2982486222319
"152","NIP413_2006_1656",21.3293150173638
"153","NIP411_2006_1657",19.2285404640622
"154","NIP380_2006_1663",13.6067032128572
"155","NIP81_2006_1684",28.8708628457168
"156","THU154_2006_1687",17.9661773305308
"157","THU133_2006_1688",18.2315916417093
"158","THU192_2006_1689",23.9168441473341
"159","THU232_2006_1690",12.4830176581629
"160","THU113_2006_1568",27.5707024136105
"161","FOR52_2006_1617",27.7553898296079
"162","FOR173_2006_1618",18.7646077510922
"163","FOR54_2006_1619",26.3532258701973
"164","FOR165_2006_1620",17.1596985246668
"165","FOR57_2006_1621",26.265553534583
"166","FOR63_2006_1622",32.517199076139
"167","FOR179_2006_1623",18.7468149890638
"168","FOR61_2006_1624",26.3723124600069
"169","RED44_2006_1683",32.8033692961906
"170","RED11_2007_1562",23.6900255062523
"171","NIP40_2007_1564",30.1542177245515
"172","DRY8_2007_1565",17.9167763182991
"173","KEN41_2007_1566",25.1477595672607
"174","TIM3_2007_1585",29.8520783511075
"175","SUD46_2007_1586",15.9352119701154
"176","SAU13_2007_1587",16.1963145708897
"177","PEM2_2007_1588",28.3788732032025
"178","THU37_2007_1662",26.2458694400411
"179","THU36_2007_1584",23.4599990844727
"180","SLK11_2007_1658",22.6271126261086
"181","DRY10_2007_1659",18.0200004577637
"182","NIP26_2007_1660",24.5734988529042
"183","THU39_2007_1661",16.3583095298623
"184","RED7_2008_1665",21.4028542080343
"185","SLK34_2008_1666",28.3205024996283
"186","SLK29_2008_1667",24.4680033232036
"187","THU38_2008_1668",27.5268700836451
"188","COC14_2009_1703",31.8342638009196
"189","SLK10_2009_1706",25.3357460136502
"190","NIP14_2009_1714",26.0091399444974
"191","NIP12_2009_1718",29.2484213679123
"192","THU21_2009_1719",26.8265572219598
"193","COC16_2009_1720",28.413831902332
"194","SLK24_2009_1727",26.6248443724858
"195","NIP23_2009_1708",26.1239207073548
"196","NIP13_2009_1713",25.9116601032841
"197","NIP10_2009_1717",28.2721138118469
"198","SLK17_2009_1705",27.3483051194085
"199","NIP21_2009_1709",26.323681371129
"200","NIP20_2009_1710",26.5139093187783
"201","NIP19_2009_1711",26.5995241800944
"202","SLK22_2009_1704",26.0710650312537
"203","SLK13_2009_1707",28.9427085264047
"204","SLK23_2009_1712",25.0023649719047
"205","SLK26_2009_1715",28.8193518117312
"206","RED10_2009_1716",22.5684913185011
"207","RED7_2009_1725",27.6565026236251
"208","SLK25_2009_1726",19.1567457319605
"209","SLK63_2010_1729",23.373687625474
"210","SLK49_2010_1730",21.6191170164776
"211","SLK65_2010_1732",24.6060440537261
"212","SLK64_2010_1733",23.3518304887161
"213","NIP27_2010_1734",26.1908475150049
"214","RED44_2010_1753",31.1325450520522
"215","RED26_2010_1755",26.7122078709194
"216","HEA31_2010_1768",20.8891935138802
"217","WAW18_2010_1775",24.3798472113518
"218","RED32_2010_1751",18.7373612864692
"219","RED25_2010_1756",26.0405082896276
"220","FOR3_2010_1771",11.8788074407042
"221","CHA10_2010_1589",16.7299995422363
"222","NIP41_2010_1731",20.8669176412406
"223","NIP45_2010_1752",24.0699996948242
"224","NIP35_2010_1767",26.0300006866455
"225","HEA20_2010_1770",33.9194642779897
"226","KLK5_2010_1772",18.2574598481578
"227","TIM9_2010_1773",26.8022153942402
"228","TIM7_2010_1774",26.8193865729689
"229","TIM13_2010_1776",30.5893970259433
"230","RED27_2011_1701",26.6453207967754
"231","NIP94_2011_1747",25.709842307954
"232","WAW12_2011_1749",21.3119030505155
"233","TIM34_2011_1750",20.8999996185303
"234","RED114_2011_1778",24.2866551704711
"235","RED32_2011_1789",24.2553291927278
"236","RED58_2011_1799",25.7174679621748
"237","RED85_2011_1818",17.9373985189426
"238","NIP66_2011_1835",25.1472134353275
"239","FOR17_2011_1836",30.9783610175638
"240","SAU20_2011_1837",24.4739977974917
"241","RED124_2011_1958",27.6243358825935
"242","KEN91_2011_1748",27.0754223541475
"243","KEN27_2011_1832",22.044809872591
"244","FOR42_2011_1834",25.3237867637499
"245","RED66_2011_1723",24.8547591439807
"246","RED67_2011_1724",24.8436012712785
"247","RED93_2011_1738",24.523507784415
"248","RED111_2011_1742",27.3965545073458
"249","RED113_2011_1743",27.4158572100137
"250","RED112_2011_1744",30.5499992370605
"251","RED65_2011_1777",30.3584234993737
"252","RED123_2011_1790",28.6811534469192
"253","RED120_2011_1793",33.4468851697467
"254","RED23_2011_1795",26.5186665637081
"255","RED73_2011_1801",25.8357303919417
"256","RED72_2011_1816",30.3535288353378
"257","SLK95_2011_1817",28.2708280629125
"258","SLK61_2011_1819",26.3229164254369
