"","tri","Fire_ID"
"120",6.33470487594604,"NIP24_2015_1976"
"121",3.77940702438354,"NIP24_2018_2151"
"122",15.4981660842896,"NIP245_2006_1605"
"123",6.83119773864746,"NIP25_2013_1887"
"124",25.4558849334717,"NIP257_2006_1604"
"125",5.16040945053101,"NIP26_2001_47"
"126",20.324291229248,"NIP26_2007_1660"
"127",6.95610857009888,"NIP26_2020_2207"
"128",26.8009967803955,"NIP262_2006_1567"
"129",19.4853801727295,"NIP267_2006_1641"
"130",10.6827697753906,"NIP27_2010_1734"
"131",3.278160572052,"NIP27_2018_2057"
"132",56.2660293579102,"NIP276_2006_1655"
"133",12.4475679397583,"NIP29_2017_2078"
"134",10.2475843429565,"NIP29_2018_2055"
"135",21.6307735443115,"NIP291_2006_1611"
"136",10.1553144454956,"NIP296_2006_1609"
"137",7.17516565322876,"NIP30_2015_1990"
"138",15.2102737426758,"NIP30_2018_2115"
"139",4.66228008270264,"NIP30_2020_2202"
"140",7.62081098556519,"NIP31_2015_1972"
"141",14.3894014358521,"NIP31_2018_2059"
"142",15.0256986618042,"NIP32_2012_1929"
"143",1.6551548242569,"NIP32_2015_1973"
"144",11.1457796096802,"NIP32_2017_2024"
"145",14.5955009460449,"NIP32_2018_2050"
"146",50.9026069641113,"NIP322_2006_1573"
"147",18.8667068481445,"NIP323_2006_1607"
"148",19.8096942901611,"NIP327_2006_1596"
"149",8.66747951507568,"NIP328_2006_1608"
"150",27.3225841522217,"NIP334_2006_1616"
"151",37.8466148376465,"NIP338_2006_1664"
"152",1,"NIP34_2011_1696"
"153",115.393188476562,"NIP341_2006_1614"
"154",34.8410034179688,"NIP344_2006_1643"
"155",2.59044742584229,"NIP35_2001_5"
"156",6.22737455368042,"NIP35_2010_1767"
"157",62.7690010070801,"NIP365_2006_1574"
"158",13.3685569763184,"NIP37_2017_1945"
"159",0.723309338092804,"NIP37_2018_2034"
"160",5.46121501922607,"NIP38_2002_97"
"161",4.55587530136108,"NIP38_2015_1995"
"162",14.3005743026733,"NIP38_2017_2111"
"163",37.526180267334,"NIP380_2006_1663"
"164",5.84567356109619,"NIP39_2001_2"
"165",7.0092077255249,"NIP39_2017_2091"
"166",46.7345657348633,"NIP391_2006_1575"
"167",4.76257467269897,"NIP40_2007_1564"
"168",11.3444051742554,"NIP40_2011_1791"
"169",7.05035305023193,"NIP40_2013_1870"
"170",8.42074775695801,"NIP40_2017_1953"
"171",6.0381007194519,"NIP40_2018_2037"
"172",78.3692626953125,"NIP40_2020_2211"
"173",8.16476821899414,"NIP400_2006_1613"
"174",59.331729888916,"NIP402_2006_1615"
"175",6.60820055007935,"NIP404_2006_1612"
"176",40.9624061584473,"NIP406_2006_1569"
"177",41.0999450683594,"NIP409_2006_1570"
"178",3.13536667823792,"NIP41_2010_1731"
"179",56.078125,"NIP410_2006_1602"
"180",29.5396575927734,"NIP411_2006_1657"
"181",49.6276588439941,"NIP413_2006_1656"
"182",64.8777313232422,"NIP414_2006_1648"
"183",36.0938377380371,"NIP415_2006_1645"
"184",15.4288959503174,"NIP42_2003_1430"
"185",29.4953460693359,"NIP426_2006_1572"
"186",17.3240756988525,"NIP428_2006_1646"
"187",7.70360660552979,"NIP43_2013_1868"
"188",16.260814666748,"NIP430_2006_1637"
"189",4.51408386230469,"NIP44_2013_1864"
"190",95.2964706420898,"NIP440_2006_1601"
"191",4.07021045684814,"NIP45_2010_1752"
