"","long","lat","V3","DATE"
"87",-90.14084388,51.48233531,11.5821217844748,"2002-06-30"
"88",-91.98609644,53.98861707,0.914209900907569,"2003-07-05"
"89",-87.55283918,52.56190598,4.22579635765814,"2003-08-16"
"99",-93.15050511,53.80688726,3.33579064887412,"2003-08-16"
"107",-87.36270397,52.47983585,4.29492200880526,"2003-08-16"
"90",-92.03785961,52.27982134,7.03078219066892,"2003-06-22"
"98",-87.62156007,49.91419403,10.5740976703793,"2003-06-22"
"101",-95.11457035,52.14269388,2.90728727124095,"2003-06-22"
"149",-89.77592085,50.81563591,10.3796803931313,"2003-06-22"
"91",-84.52137186,48.9215504,8.22428824714147,"2003-06-21"
"95",-91.60304983,51.49952196,11.678929204639,"2003-06-21"
"112",-90.87662561,51.70642746,12.7936377526455,"2003-06-21"
"124",-85.73737109,49.55261172,8.69556810689175,"2003-06-21"
"92",-87.27323846,53.33957245,3.63589919701124,"2003-07-15"
"93",-86.17608714,49.36804179,4.52769166675065,"2003-06-15"
"94",-91.23453622,49.22891386,9.45937070669607,"2003-06-20"
"97",-94.54737949,48.806977,8.58500873122084,"2003-05-01"
"100",-94.78447226,49.87461828,3.25152681403553,"2003-08-19"
"151",-93.74462987,53.61933549,6.30842583029824,"2003-08-19"
"102",-87.78258602,51.64186863,1.47803130965689,"2003-06-17"
"109",-93.53996523,51.45801691,4.94358267101433,"2003-06-17"
"111",-90.14007946,54.43536583,0.447747607357379,"2003-06-17"
"103",-90.75921051,53.639919,0.208963130703935,"2003-06-23"
"104",-89.52890347,53.87748438,1.74016952230476,"2003-06-23"
"153",-86.47767597,51.40282203,8.00010428590264,"2003-06-23"
"105",-90.85759023,50.24332331,9.95101057955808,"2003-05-16"
"106",-82.70620763,46.24892542,10.1503044283083,"2003-05-05"
"108",-93.38326009,53.73588194,5.37334848986644,"2003-08-18"
"118",-90.67734904,53.89262369,2.81049870367727,"2003-08-18"
"122",-87.65138285,53.531595,4.69164516479417,"2003-08-18"
"110",-93.20309531,49.57418157,4.69314104440412,"2003-06-18"
"117",-89.54031022,53.77348777,3.88730035912471,"2003-06-18"
"113",-89.36302742,53.58898659,4.21307170991996,"2003-08-20"
"114",-87.44860684,53.34361378,5.80727717710838,"2003-07-16"
"115",-93.7746737,48.74451767,16.1272879870189,"2003-05-03"
"116",-88.07086889,50.22812796,7.99929298933414,"2003-05-26"
"119",-79.89817059,47.96530861,11.5301195458384,"2003-05-19"
"120",-80.14027615,48.59463801,4.99601130814371,"2003-05-06"
"121",-92.85139614,52.71676753,4.30971952875481,"2003-07-22"
"123",-89.82177938,48.36005465,5.9308662209955,"2003-05-08"
"125",-80.11226323,48.62526495,2.40234184022891,"2004-09-30"
"126",-88.76580391,50.27336629,5.97900410567845,"2005-07-26"
"138",-88.50359473,49.06371414,3.44891872985972,"2005-07-26"
"127",-83.79723042,49.40707445,8.16189081670609,"2005-08-10"
"142",-89.69565547,50.62167386,4.52914634026178,"2005-08-10"
"128",-80.77377356,48.29857844,10.2055914303985,"2005-07-15"
"129",-82.91942505,48.30008503,9.06201409770558,"2005-07-17"
"144",-81.93809351,48.31922436,7.7975453481039,"2005-07-17"
"145",-79.64943524,50.63160935,3.53732724797682,"2005-07-17"
"130",-91.64975551,48.28706922,7.67934115889694,"2005-08-07"
"134",-88.4245732,51.48302122,1.61976286719105,"2005-08-07"
"141",-89.85199303,49.38890812,6.9756758876135,"2005-08-07"
"131",-82.19864249,48.21158612,13.050599616532,"2005-05-26"
"135",-81.14507001,49.46838141,16.5303524780187,"2005-05-26"
"132",-91.36372394,48.18645514,2.62488840549034,"2005-08-01"
"133",-81.79853098,47.786001,5.50888280587668,"2005-05-27"
"136",-91.17121978,48.13620216,0.574450138369932,"2005-07-31"
"137",-87.91152541,50.54025369,8.03334017067758,"2005-06-21"
"139",-88.62437713,49.6080933,0.217176291653808,"2005-08-18"
"140",-88.73004987,50.58062925,8.57039835833458,"2005-07-25"
"143",-89.68396199,50.186711,3.26969822695894,"2005-08-08"
"148",-87.36412727,51.15713417,1.82647926774393,"2005-08-08"
"146",-91.35810699,53.06996748,7.36335818115111,"2005-08-06"
"147",-89.54179149,52.32492836,7.95531080795876,"2005-07-11"
"150",-91.75296334,53.91465351,7.00841513286957,"2003-07-23"
"152",-91.52837152,52.01691962,6.6471281078015,"2003-07-18"
"154",-86.43477247,51.76051773,6.720264989015,"2003-08-17"
"155",-84.5692489,47.16096073,2.23915913649494,"2006-09-17"
"226",-90.21174601,49.56141922,-0.00918744764969492,"2006-09-17"
"156",-80.30680487,46.50016928,13.8911132854314,"2006-05-09"
"196",-81.0119065,49.23811272,10.5614974074803,"2006-05-09"
"237",-81.04619205,49.3966999,10.7741070935891,"2006-05-09"
"242",-81.04418398,49.36955209,10.6894577267798,"2006-05-09"
"157",-92.9170803,54.22159284,0.121587747968391,"2007-06-12"
"158",-86.20258526,50.46402578,6.4043896679503,"2007-06-12"
